condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_cross.started,text_cross.stopped,text_pre_condition.started,text_pre_condition.stopped,text_pre_fix.started,text_pre_fix.stopped,text_condition.started,text_condition.stopped,text.started,text.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
hand,45,0,90,1,,,1069.5863113999949,None,1072.603090299992,None,1072.603090299992,None,1074.103265400001,None,1079.0867029999936,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,45,1,91,0,,,1081.08687069999,None,1084.1035810999892,None,1084.1035810999892,None,1085.603643399998,None,1090.5872916999942,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,46,0,92,0,,,1092.5873734999914,None,1095.5874651999911,None,1095.5874651999911,None,1097.0874643999996,None,1102.0876730000018,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,46,1,93,1,,,1104.0877825999924,None,1107.1046142999985,None,1107.1046142999985,None,1108.6046171999915,None,1113.5882705999975,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,47,0,94,1,,,1115.5882436999964,None,1118.588373599996,None,1118.588373599996,None,1120.088500999991,None,1125.0886496999883,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,47,1,95,0,,,1127.0887970999902,None,1130.1055330999952,None,1130.1055330999952,None,1131.6055987,None,1136.5892495000007,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,48,0,96,1,,,1138.589225299991,None,1141.5894007000024,None,1141.5894007000024,None,1143.1061439999903,None,1148.0896331999975,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,48,1,97,0,,,1150.0897113999963,None,1153.106515099993,None,1153.106515099993,None,1154.6065818999923,None,1159.5902111999894,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,49,0,98,1,,,1161.590206199995,None,1164.6070006999944,None,1164.6070006999944,None,1166.1071172999946,None,1171.0906684999936,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,49,1,99,0,,,1173.0906911999919,None,1176.1075488999923,None,1176.1075488999923,None,1177.6075521999883,None,1182.591174599991,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,50,0,100,1,,,1184.591179199997,None,1187.6079623999976,None,1187.6079623999976,None,1189.1080834999884,None,1194.0916443000024,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,50,1,101,0,,,1196.091672399998,None,1199.108466699996,None,1199.108466699996,None,1200.6085304000007,None,1205.5920781000023,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,51,0,102,1,,,1207.5921613999963,None,1210.6090070999926,None,1210.6090070999926,None,1212.109018999996,None,1217.092627399994,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,51,1,103,0,,,1219.0927113999933,None,1222.1095110000024,None,1222.1095110000024,None,1223.6095738000004,None,1228.593103399995,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,52,0,104,0,,,1230.6098280000006,None,1233.5932777999988,None,1233.5932777999988,None,1235.0933390999999,None,1240.093553899991,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
